name,genre,type,episodes,rating,members
9963.0,1804.0,6.0,25.0,8.28,134818.0
12020.0,1828.0,6.0,24.0,8.28,50778.0
3087.0,2659.0,6.0,24.0,8.27,103828.0
6497.0,1224.0,1.0,1.0,8.27,152331.0
7714.0,2101.0,6.0,11.0,8.27,70822.0
7972.0,22.0,5.0,1.0,8.27,24707.0
8159.0,2215.0,6.0,25.0,8.27,60988.0
10208.0,2330.0,6.0,13.0,8.27,60918.0
11245.0,2438.0,1.0,1.0,8.27,45189.0
2117.0,2188.0,4.0,12.0,8.26,104893.0
2636.0,3237.0,3.0,6.0,8.26,99074.0
2637.0,3237.0,1.0,1.0,8.26,66376.0
4939.0,2256.0,6.0,26.0,8.26,391628.0
9152.0,1645.0,4.0,13.0,8.26,23701.0
12169.0,3192.0,6.0,11.0,8.26,342893.0
1982.0,1127.0,6.0,25.0,8.25,440334.0
2064.0,1378.0,6.0,-1.0,8.25,114702.0
2074.0,1378.0,1.0,1.0,8.25,25432.0
2141.0,2308.0,6.0,75.0,8.25,81384.0
2657.0,68.0,6.0,102.0,8.25,255076.0
4006.0,2637.0,6.0,13.0,8.25,47716.0
4763.0,208.0,6.0,24.0,8.25,120089.0
6481.0,1813.0,6.0,96.0,8.25,22079.0
7726.0,2298.0,6.0,12.0,8.26,64230.0
9606.0,568.0,6.0,50.0,8.25,129112.0
12129.0,1481.0,4.0,8.0,8.25,5001.0
